actGraph,candidates,SQ,MCN,SN,fitness_normalized,scalability
a,20,5,100,20,0.9756313242157839,14.222185850143433
a,40,5,100,20,0.9827211918489926,13.726433038711548
a,60,5,100,20,0.9861816419893912,13.63995885848999
a,80,5,100,20,0.988603222964573,14.133604049682617
a,100,5,100,20,0.9401368066211346,13.976896524429321
a,100,10,200,20,0.9740894938317247,25.32921838760376
b,20,5,100,20,0.9639290821852252,15.416413068771362
b,40,5,100,20,0.9412367623591513,14.645601749420166
b,40,10,200,20,0.9538077156602461,29.273586988449097
b,60,10,200,20,0.9514556562261792,27.83555841445923
b,80,10,200,20,0.9682693277285084,27.29726529121399
b,100,10,200,20,0.9642451900043612,27.741475820541382
c,20,5,100,20,0.9532135115473557,15.666018724441528
c,40,5,100,20,0.9516574245348661,15.221581220626831
c,60,5,100,20,0.9309402335228587,15.459904193878174
c,60,10,200,20,0.9515490827813284,28.827334880828857
c,80,10,200,20,0.9565397564882755,31.643168687820435
c,100,10,200,20,0.962297163024865,30.46862816810608
