activities,candidates,SQ,MCN,SN,fitness_normalized,scalability
5,7,10,117,73,0.8716854090444295,0.9522488117218018
5,7,19,114,113,0.8887078842729972,1.3600671291351318
5,7,14,105,291,0.8826765118448641,3.8056554794311523
5,7,10,399,129,0.9169903643655017,5.647852659225464
5,7,31,650,271,0.917573477452069,23.591517686843872
5,15,10,186,82,0.9512937856161148,1.7201030254364014
5,15,17,223,119,0.8989229876301901,2.96822190284729
5,15,24,467,205,0.9063038940795278,11.50456714630127
5,15,17,740,358,0.9600525051928319,35.834397315979004
5,15,49,185,385,0.8531380654215495,9.882029056549072
5,6,10,192,72,0.8520384671787099,1.5041985511779785
5,6,15,194,188,0.8347067309523521,4.42787504196167
5,6,27,394,294,0.8904333653498095,14.80158019065857
5,6,38,319,224,0.786634058976706,8.80153489112854
5,6,10,461,215,0.8165315758441118,12.363668441772461
5,25,10,128,61,0.9242700646184387,0.8524503707885742
5,25,13,329,135,0.8975223075226504,5.7831761837005615
5,25,13,325,260,0.9093457553271451,12.06348466873169
5,25,22,451,139,0.9090295881710111,8.08640170097351
5,25,38,575,480,0.9315757655249118,40.509029388427734
5,5,10,196,85,0.8702811692677379,1.8645386695861816
5,5,10,185,58,0.8305394860185138,1.2510011196136475
5,5,27,503,261,0.8388414291061036,18.627057790756226
5,5,34,396,97,0.8867895916501762,5.032373428344727
5,5,42,549,304,0.8590420039006935,25.55435800552368
5,17,10,195,67,0.9190688270467753,1.371361494064331
5,17,19,217,123,0.9097483919038085,2.980015754699707
5,17,21,475,193,0.9138461109482653,10.935576915740967
5,17,33,735,163,0.9525827322469009,14.165308952331543
5,17,11,147,187,0.9088555437268402,3.466555595397949
5,16,10,121,61,0.9117325146376067,0.8215775489807129
5,16,17,200,68,0.9158558919446225,1.6076037883758545
5,16,28,197,71,0.9263562935177905,1.551353931427002
5,16,11,345,202,0.9627963669460753,8.689030885696411
5,16,32,369,467,0.9191121999397988,25.676779985427856
5,6,10,115,74,0.8382810512537798,0.9835474491119385
5,6,13,170,166,0.9189832470307828,3.3311767578125
5,6,24,482,257,0.8645332276073826,15.89696478843689
5,6,34,638,371,0.8736937255519737,34.09612154960632
5,6,48,551,114,0.8444788866537933,7.283890962600708
5,15,10,110,86,0.917616577166491,1.0976405143737793
5,15,16,332,78,0.8690781918155432,2.846087694168091
5,15,22,387,84,0.9187900661876149,3.535200595855713
5,15,15,129,322,0.8846424347334809,5.7217020988464355
5,15,44,878,364,0.9307282079133992,45.47109651565552
5,49,10,125,97,0.8935261505887895,1.3974649906158447
5,49,14,122,176,0.9252310741829175,2.6595263481140137
5,49,16,434,126,0.9256657198576204,6.418447971343994
5,49,33,353,188,0.944580188016062,8.146518230438232
5,49,22,693,281,0.9182167383372202,26.695618867874146
5,51,10,122,97,0.9293378992353275,1.3175928592681885
5,51,18,302,80,0.9435749251826462,2.6431541442871094
5,51,21,162,209,0.922610674545351,4.109938621520996
5,51,12,316,109,0.9354499342325397,3.8206276893615723
5,51,18,283,197,0.9496938653933542,6.6080169677734375
5,66,10,135,59,0.9296899098975164,0.8224072456359863
5,66,16,376,200,0.9396371127164522,8.827093839645386
5,66,14,160,158,0.9360779697426067,2.910393238067627
5,66,21,764,225,0.9444546105600368,20.89744782447815
5,66,47,855,168,0.9313566169840304,16.93725895881653
5,109,10,122,51,0.9026358663919889,0.6697185039520264
5,109,19,111,159,0.940049710403264,2.3423173427581787
5,109,13,274,172,0.9344785994246063,7.09351110458374
5,109,21,796,148,0.9426576900689458,16.029186487197876
5,109,36,409,197,0.9653460197285356,9.792036771774292
5,85,10,106,84,0.9268995796062063,0.9969618320465088
5,85,17,123,161,0.950988218954973,2.373379945755005
5,85,23,455,263,0.9332603265663324,15.02742052078247
5,85,28,272,161,0.9607156878204326,5.085639238357544
5,85,42,935,147,0.950218824142951,15.581374883651733
5,37,10,126,53,0.9356047020482847,0.7008414268493652
5,37,20,288,199,0.95483279041857,6.956982374191284
5,37,13,280,279,0.9482197439192419,10.01976203918457
5,37,25,708,389,0.92643238931741,37.3502516746521
5,37,32,264,289,0.897646278053341,9.86854887008667
5,95,10,197,71,0.9202057141853979,1.499161958694458
5,95,11,285,162,0.9635787153763217,5.3792266845703125
5,95,14,157,226,0.9328464139449097,4.313724994659424
5,95,24,530,393,0.9438359548805866,29.20947766304016
5,95,24,524,320,0.9542639364849683,21.982950925827026
5,20,10,184,87,0.900693288868068,1.757199764251709
5,20,16,206,156,0.8908343747419284,3.7156317234039307
5,20,17,276,74,0.9020354577957354,2.2057299613952637
5,20,33,248,387,0.8986803177176568,13.54813265800476
5,20,35,211,245,0.9061490071623808,6.424909591674805
5,61,10,124,82,0.9110989600388953,1.1313650608062744
5,61,19,260,108,0.9417696214134785,3.1944568157196045
5,61,30,364,279,0.9319051805810008,15.368695259094238
5,61,32,670,106,0.9266034145822662,8.334734439849854
5,61,13,199,53,0.896416091946513,1.08113431930542
5,90,10,192,87,0.9167473398715571,1.8292715549468994
5,90,14,226,177,0.9262041307694224,4.733449220657349
5,90,11,467,177,0.9441342521415508,9.87972354888916
5,90,34,496,158,0.9455682243468128,9.221137523651123
5,90,38,549,331,0.962444525959745,24.651930809020996
5,156,10,121,79,0.9399361138508705,1.0379242897033691
5,156,11,347,161,0.9441787190033808,6.5068206787109375
5,156,16,251,283,0.931421738648794,7.990534543991089
5,156,20,593,94,0.9396305967983953,5.494164943695068
5,156,20,522,393,0.9570937588631142,23.444159984588623
5,174,10,137,87,0.9286803724122683,1.026872158050537
5,174,19,269,129,0.9603852763756722,3.038954019546509
5,174,22,289,163,0.928668959546177,4.288382053375244
5,174,19,706,263,0.9424919444277039,18.194481372833252
5,174,21,230,99,0.9283513216452467,1.946303367614746
5,198,10,162,97,0.9350207720397774,1.350431203842163
5,198,20,156,147,0.9582205136118827,2.0597469806671143
5,198,27,377,221,0.95406679719487,7.839578151702881
5,198,10,742,72,0.9341714249398863,4.438339710235596
5,198,31,455,154,0.9365268924290517,6.227693796157837
5,71,10,141,63,0.919889303446533,0.7286980152130127
5,71,13,328,124,0.9155498868113026,3.5607712268829346
5,71,25,235,262,0.9357419397403377,6.11936354637146
5,71,40,112,292,0.9241644071818349,3.3144495487213135
5,71,39,977,394,0.946629408020332,40.74389934539795
5,26,10,183,94,0.8921291764158528,1.487863302230835
5,26,19,372,64,0.9044449589795787,1.9731552600860596
5,26,23,160,71,0.9322932270249752,0.95709228515625
5,26,16,572,264,0.9127081875959495,14.676571369171143
5,26,31,498,497,0.9144214658857035,28.583280563354492
5,81,10,190,78,0.9571964701036682,1.275825023651123
5,81,20,101,126,0.9426342382649879,1.1600432395935059
5,81,18,454,221,0.9453584309190475,9.540153503417969
5,81,29,552,365,0.9409468964498073,21.220911502838135
5,81,15,399,416,0.9586855515537367,18.288954973220825
5,76,10,145,100,0.9257115729734549,1.279834270477295
5,76,20,287,167,0.9411494141264372,4.354775667190552
5,76,14,166,164,0.9351196689263671,2.507014274597168
5,76,18,197,357,0.9429027245519537,7.477687120437622
5,76,23,133,147,0.9583240823091308,1.7860777378082275
5,56,10,137,74,0.9213042986943109,0.8668725490570068
5,56,10,342,193,0.9417945523785026,6.108835220336914
5,56,19,305,171,0.9208502527288005,4.827259540557861
5,56,12,704,338,0.9587012580202735,24.47415065765381
5,56,42,616,395,0.9276085063218029,26.362728595733643
5,95,10,136,51,0.9442947002790416,0.5863087177276611
5,95,18,327,105,0.936281341059964,3.1989457607269287
5,95,21,112,145,0.9549052845770307,1.594914436340332
5,95,31,276,66,0.9189913430909704,1.6202564239501953
5,95,28,283,308,0.9526951911806424,9.229668378829956
5,191,10,195,96,0.9261121564561872,1.6178388595581055
5,191,13,243,81,0.9465750479622311,1.6592671871185303
5,191,15,411,179,0.9394346217746489,6.732661247253418
5,191,12,302,112,0.9373698767727894,2.9250259399414062
5,191,43,751,383,0.9423891254140434,30.91918921470642
5,178,10,131,60,0.9256600821486436,0.661116361618042
5,178,14,135,135,0.9110991604328246,1.6265242099761963
5,178,22,199,243,0.931955470094946,5.187191724777222
5,178,26,243,102,0.897118077048354,2.4986443519592285
5,178,48,514,361,0.9532281636505427,20.53996253013611
5,162,10,146,97,0.9459547459892927,1.2604272365570068
5,162,14,210,128,0.957131962927291,2.467960834503174
5,162,16,164,158,0.9353131661169429,2.4374940395355225
5,162,40,767,128,0.944014327518033,8.75134539604187
5,162,12,262,496,0.9594837358056603,16.45571517944336
5,200,10,199,79,0.924997380103918,1.4289369583129883
5,200,12,298,167,0.9440512544457915,4.7721357345581055
5,200,11,318,252,0.9450799625667197,8.243965148925781
5,200,12,345,274,0.9518844122835595,10.120652675628662
5,200,10,518,354,0.9566150077301618,21.19847822189331
5,129,10,187,97,0.9305696278191016,1.9365630149841309
5,129,13,245,198,0.958925385985694,4.762582778930664
5,129,24,113,202,0.9429289200687893,2.273707151412964
5,129,39,731,88,0.9570687525111541,5.77625036239624
5,129,35,480,482,0.9694187146472272,28.89215397834778
5,340,10,156,70,0.928289629765979,1.060856819152832
5,340,19,165,110,0.9286021616677167,1.7456955909729004
5,340,17,125,87,0.9184665235070515,0.9631748199462891
5,340,30,365,140,0.9426813952880887,4.8058977127075195
5,340,27,470,243,0.9533780820322211,11.738104104995728
5,139,10,133,86,0.9449077788593574,1.0396254062652588
5,139,13,299,158,0.9356473343107923,4.745690584182739
5,139,21,260,160,0.9568730179710223,4.005751371383667
5,139,16,750,107,0.9236260455855896,7.383301019668579
5,139,42,741,155,0.942282606239302,11.374406337738037
5,355,10,121,59,0.9443055003430073,0.7387161254882812
5,355,20,297,104,0.9605395312473992,3.010693073272705
5,355,28,423,244,0.9370641016798452,10.341912984848022
5,355,26,422,235,0.9421506839807723,9.713915348052979
5,355,49,967,213,0.95181157432073,19.356945991516113
5,295,10,118,54,0.9118169091368011,0.5680034160614014
5,295,12,214,188,0.9429111008743748,3.739001989364624
5,295,14,111,213,0.9408445377828096,2.3021764755249023
5,295,38,466,92,0.9244941902275673,3.6581194400787354
5,295,49,502,81,0.9306448164175596,3.3996200561523438
5,75,10,110,50,0.9080489418582514,0.47145986557006836
5,75,18,399,184,0.9337837775712455,6.771258354187012
5,75,26,128,185,0.9384749649337695,2.2273905277252197
5,75,13,437,298,0.9468357980621966,13.062769889831543
5,75,16,857,379,0.9530118430814405,34.87392854690552
5,271,10,110,61,0.9306382072014325,0.5621201992034912
5,271,20,278,139,0.9497609558034075,3.420933723449707
5,271,22,417,192,0.9530862152355662,7.938262224197388
5,271,40,733,352,0.9680730621091849,26.8707275390625
5,271,47,568,299,0.9702611327531857,17.156041383743286
5,380,10,177,83,0.9310314147920187,1.3286161422729492
5,380,14,353,64,0.9339925583195804,1.8906457424163818
5,380,14,157,108,0.9347525748062143,1.4809703826904297
5,380,23,294,117,0.928215696088277,2.981123208999634
5,380,15,743,106,0.9381991532913357,6.7641661167144775
5,18,10,181,52,0.9113542263117628,0.793574333190918
5,18,20,368,186,0.921249178168672,6.286427974700928
5,18,18,389,175,0.8994793706592081,6.165199518203735
5,18,33,776,349,0.8935411523027182,28.0074565410614
5,18,47,543,290,0.9350331057043502,15.754550695419312
5,243,10,116,85,0.9400045888950215,0.8520302772521973
5,243,19,198,139,0.9474932393905493,2.455164909362793
5,243,26,156,130,0.9278567614846842,1.8100285530090332
5,243,19,398,206,0.9487318111779037,7.620512008666992
5,243,20,117,88,0.9611488383054925,0.89382004737854
5,250,10,118,81,0.9530802607988828,0.8312525749206543
5,250,10,110,60,0.9046150894674556,0.5626459121704102
5,250,22,128,232,0.9591626495952447,2.9251463413238525
5,250,16,605,235,0.9596486193463256,13.446028232574463
5,250,30,950,346,0.9646263904916544,33.87120509147644
5,377,10,172,94,0.8957525662683321,1.4038896560668945
5,377,19,187,57,0.9231834471879737,0.8718161582946777
5,377,20,106,132,0.9439028180047249,1.250544548034668
5,377,10,765,191,0.9452043026998773,13.441600561141968
5,377,13,111,161,0.9650891331875104,1.7730746269226074
5,169,10,132,71,0.944329960226164,0.7856416702270508
5,169,13,315,121,0.9352377910538496,3.313159227371216
5,169,28,429,151,0.9282194942990465,5.735089063644409
5,169,29,398,157,0.9436621178968446,5.865216970443726
5,169,12,801,310,0.9631756183424869,26.617047786712646
5,442,10,126,65,0.9313936817268789,0.7059948444366455
5,442,13,365,159,0.9331942281508998,5.591530799865723
5,442,16,169,146,0.9621346884674172,2.8460781574249268
5,442,26,720,130,0.9538359579925354,8.89147138595581
5,442,13,115,137,0.9337680454969199,1.5515251159667969
5,378,10,115,79,0.9422233107710901,0.8386847972869873
5,378,13,293,151,0.9305915784268798,4.112521409988403
5,378,22,144,179,0.9322426231771584,2.406177043914795
5,378,20,548,199,0.9473915208271946,10.150742769241333
5,378,32,835,244,0.9545996502814962,20.350205421447754
5,111,10,190,59,0.9541602491744847,1.0476605892181396
5,111,20,368,61,0.934660076007011,2.1436352729797363
5,111,24,178,296,0.950905767275981,9.275761842727661
5,111,16,249,91,0.9343187584546503,1.9168152809143066
5,111,29,753,282,0.9485707455967191,20.87118935585022
5,306,10,103,60,0.9368947180223652,0.5519576072692871
5,306,19,130,113,0.9415610434584364,1.2868330478668213
5,306,14,478,154,0.9557614768670831,6.532398462295532
5,306,16,437,302,0.9515185091683362,13.45192837715149
5,306,29,654,204,0.9563640045708599,12.317183256149292
10,5,10,169,87,0.8720720073287165,1.9993271827697754
10,5,10,343,101,0.8969294681095339,4.668430328369141
10,5,22,418,115,0.8931523064079339,6.549023628234863
10,5,22,138,129,0.9021471118293433,2.4916529655456543
10,5,11,674,221,0.9146541476298542,21.368526935577393
10,19,10,184,61,0.8732116047545309,1.4878520965576172
10,19,14,390,125,0.8898451344054732,6.7005393505096436
10,19,17,519,231,0.9130864235124212,17.422550439834595
10,19,13,311,390,0.938910836875598,19.286522150039673
10,19,25,636,394,0.9097484212914729,40.12795805931091
10,29,10,174,77,0.9347699490820911,1.8163671493530273
10,29,10,144,52,0.9270429032911114,1.01108980178833
10,29,24,488,122,0.8832791137116525,8.175066709518433
10,29,12,617,226,0.9301872041341246,20.20816159248352
10,29,20,678,442,0.9487729722505991,48.41862368583679
10,13,10,154,80,0.9244559020063685,1.6872763633728027
10,13,13,112,174,0.8427817210301758,2.830841541290283
10,13,28,367,208,0.9264708924788014,10.98177170753479
10,13,28,166,146,0.8995123404323393,3.449223279953003
10,13,27,406,382,0.9019225541552605,24.448132514953613
10,17,10,178,63,0.9130857711088926,1.4949743747711182
10,17,12,381,121,0.8553209406005136,6.310611248016357
10,17,18,351,89,0.9247771149913399,4.235945224761963
