activities,candidates,SQ,MCN,fitness_normalized,scalability
5,50,10,200,1.0,0.35950183868408203
10,100,20,500,0.9285086495540167,1.4118444919586182
10,100,50,1000,0.958897168253464,2.750725030899048
20,150,50,3000,0.8992754984502569,16.57355785369873
20,150,100,10000,0.9210365379811372,51.487502336502075
30,200,100,10000,0.7984639449538693,77.88049554824829
30,200,50,20000,0.8829443358151257,159.5535750389099
5,50,10,200,0.9597326198589093,0.3997077941894531
5,50,20,500,1.0,0.955479621887207
30,200,10,400,0.725813403471171,3.6712450981140137
5,50,20,500,1.0,1.0354008674621582
10,100,20,2000,0.9648914306739678,7.522805690765381
10,100,20,3000,0.9823066889593952,11.24943995475769
20,150,30,5000,0.8803841008642679,38.05868077278137
20,150,30,10000,0.9376933126481725,68.95261931419373
