activities,candidates,execution_number,working_bees,onlocker_bees,scout_bees,SQ,MCN,SN,fitness,optimal,fitness_normalized

5,50,10,50,50,100,5,100,100,2.5530750875776973,2.5530750875776977,0.9999999999999998
10,100,10,50,50,100,5,100,100,4.925946756160506,4.925946756160506,1.0
10,100,10,50,50,100,5,100,100,3.665243449725563,3.6672301103267033,0.9994582667186479
20,150,10,50,50,100,5,100,100,12.421632595612536,12.432817683786825,0.9991003577420045
20,150,10,50,50,100,5,100,100,18.184816202755705,18.20981120971487,0.9986273879135095
30,200,10,50,50,100,5,100,100,43.56561909808562,43.76541456549841,0.9954348549100619
30,200,10,50,50,50,5,100,100,60.66809537144131,60.9459465136122,0.9954410234303469


