activities,candidates,execution_number,working_bees,onlocker_bees,scout_bees,SQ,MCN,SN,fitness,optimal,fitness_normalized,scalability

5,50,10,50,50,50,10,100,100,1.8695023572610416,1.8738121632789757,0.9976999796978624,0.9716316223144531

10,100,10,50,50,50,10,100,100,1.8496087739477374,1.8634190325069016,0.9925887530833122,1.4670710563659668

10,100,10,50,50,50,10,100,100,1.9245142414545302,1.9628877553381328,0.9804504797692866,1.5495101928710937

20,150,10,50,50,50,10,100,100,1.874124570417937,1.8979769980105052,0.9874327098707883,2.463474178314209

20,150,10,50,50,50,10,100,100,1.8917348802489962,1.9191781711345075,0.9857004986309903,2.4699148178100585

30,200,10,50,50,50,10,100,100,1.900996883228392,1.9511022438456647,0.9743194592824035,3.5663689851760862

30,200,10,50,50,50,10,100,100,1.8720368769581448,1.9012726880515474,0.9846230310480272,3.545140242576599

